name,address,city,stars,review_count,categories,latitude,longitude,price
"Shell pump","Federal B Area Block 16 Gulberg Town, Karachi, Karachi City, Sindh, Pakistan",Karachi,5,1,Rest stop,24.9403,67.0847,
"Bahria Town Enterchange","Karachi - Hyderabad Motorway, Gadap Town, Karachi, Karachi City, Sindh, Pakistan",Karachi,0,0,Rest stop,24.9925,67.3176,
"DHA City Enterchange","Karachi - Hyderabad Motorway, Gadap Town, Karachi, Karachi City, Sindh, Pakistan",Karachi,2,1,Rest stop,25.036,67.429,
"Thana Boolla Khan Interchange","Unnamed Road, Thatta, Sindh, Pakistan",Thatta,4.3,9,Rest stop,25.2515,67.9538,
"Looni Kot Toll Plaza West","Looni Kot, Toll Plaza Road, Jamshoro, Sindh, Pakistan",Jamshoro,3,1,Rest stop,25.3543,68.1809,
Toll Plaza,"Karachi - Hyderabad Motorway, Jamshoro, Sindh, Pakistan",Jamshoro,2,1,Rest stop,25.3925,68.2528,
Wapda Rest House,"Wapda Colony WAPDA Colony Hussainabad, Hyderabad, Sindh, Pakistan",Hyderabad,3.9,21,Rest stop,25.3773,68.3262,
"Sapna Inn larkana","Larkana, Sindh, Pakistan",Larkana,3.7,700,Hotel,27.5497,68.2109,"6,000"
Interpark Inn,"Near Lab-e- Mahran، Barrage Rd, Sukkur, Sindh 65200, Pakistan",Sukkur,3.5,495,Hotel,27.688,68.8446,"10,000"
Hotel One Sukkur,"Military Rd, Basheerabad, Sukkur, Sindh 92650, Pakistan",Sukkur,4,"1,035",Hotel,27.6984,68.8456,"10,169"
Chen Inn Hotel,"Plot # 83, 84، Airport Rd, Friends Co-operative Housing Society, Sukkur, Sindh 65200, Pakistan",Sukkur,4,491,Hotel,27.7118,68.8387,"10,260"
Indus Guest House,"Sukkur, House #A, 175 Airport Rd, Sukkur, Pakistan",Sukkur,3.9,144,Guest House,27.7073,68.8409,"6,780"
Forum Inn Hotel,"Shamsabad, Sukkur, Sindh, Pakistan",Sukkur,3.2,242,Hotel,27.6917,68.8557,"3,500"
Step inn Guest House Sukkur,"H # A, Sindhi,131 Airport Rd,Hosusing Society Sindh Muslim Cooperative Housing Society,Sukkur,Sindh,Pakistan",Sukkur,4.6,9,Guest House,27.7223,68.8251,"3,350"
Holiday Inn Guest House,"Holiday Inn Guest House Holiday Inn Guest House,Friends Co-operative Housing Society,Sukkur,Sindh 65200,Pakistan",Sukkur,4,109,Guest House,27.7133,68.8389,"2,975"
Alidia Guest House,"Plot A-36, Airport Rd, Sindhi Cooperative Housing Society, Sukkur, Sindh 65200, Pakistan",Sukkur,4,73,Guest House,27.7086,68.8416,"8,880"
Decent Lodges Sukkur,"Sindhi Cooperative Housing Society, Sukkur, Sindh, Pakistan",Sukkur,3.9,129,Hotel,27.70851,68.842,"3,830"
